Rank,Product Name,Total Profit,_Percent Of Accued Profit 2016
57,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",148.7774,97.2%
98,Economy Binders,27.778,99.8%
27,Economy Rollaway Files,842.5399999999998,88.3%
86,EcoTones Memo Sheets,61.599999999999994,99.4%
3,Emerson LQ-870 Dot Matrix Printer,13198.2752,46.7%
91,Fluorescent Highlighters by DrawIt,48.36240000000001,99.6%
38,HFX 610 Color Digital Copier / Printer,459.0018,93.7%
8,HFX LaserJet 3310 Copier,3552,64.7%
34,Laser DVD-RAM discs,624.8210999999999,92.1%
31,"Laser Neon Mac Format Diskettes, 10/Pack",691.0487999999998,90.6%
51,Lumi Crayons,179.68800000000002,96.5%
109,"Message Book, One Form per Page",14.863999999999997,100.0%
9,Multimedia Mailers,3141.1338,67.1%
13,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",2172.4508,74.7%
47,Office Shears by Apex,207.62560000000002,95.9%
97,"OIC Colored Binder Clips, Assorted Sizes",30.9696,99.8%
99,OIC Thumb-Tacks,27.519399999999997,99.8%
35,PastelOcean Color Pencil Set,575.9836,92.5%
76,Pizazz Colored Pencils,82.032,98.8%
45,Pizazz Drawing Pencil Set,216.28660000000002,95.5%
104,Pizazz Dustless Chalk Sticks,21.939999999999994,99.9%
84,Self-Adhesive Removable Labels,66.78899999999999,99.3%
74,Self-Adhesive Ring Binder Labels,85.36159999999998,98.7%
58,Smiths Bulk Pack Metal Binder Clips,145.61759999999998,97.3%
56,Smiths Bulldog Clip,151.5444,97.1%
20,Smiths Colored Bar Computer Paper,1087.5567999999998,83.3%
24,Smiths Colored Interoffice Envelopes,874.9554,86.3%
48,Smiths File Caddy,207.26680000000002,96.0%
93,Smiths General Use 3-Ring Binders,36.57999999999999,99.7%
77,Smiths Gold Paper Clips,81.66139999999999,98.9%
79,Smiths Metal Binder Clips,75.6012,99.0%
94,Smiths Paper Clips,34.5195,99.7%
107,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",17.2242,100.0%
96,Smiths Pushpins,31.132799999999996,99.7%
29,Smiths SlimLine Pencil Sharpener,753.7603000000001,89.5%
63,Smiths Standard Envelopes,125.40799999999999,97.9%
15,Steady 52201 APSCO Electric Pencil Sharpener,2006.9156,77.9%
64,"Steady Colorific Colored Pencils, 12/Box",119.02799999999999,97.9%
69,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",98.25900000000001,98.4%
100,Steady Liquid Accent Highlighters,26.755999999999993,99.8%
110,Steady Liquid Accent Tank-Style Highlighters,11.725199999999997,100.0%
61,Steady Major Accent Highlighters,133.21200000000002,97.7%
80,Steady Pocket Accent Highlighters,74.172,99.1%
43,TechSavi Access Keyboard,344.7252,95.2%
26,TechSavi Cordless Access Keyboard,871.2056,87.6%
36,TechSavi Internet Navigator Keyboard,535.2384000000001,92.9%
25,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",871.5315999999998,87.0%
17,TypeRight Side-Opening Peel & Seel Expanding Envelopes,1438.5500000000002,80.5%
12,UGen RF Keyboard,2380.8031,73.0%
6,UGen Ultra Cordless Optical Suite,4507.7264,58.7%
4,UGen Ultra Professional Cordless Optical Suite,6212.245200000001,51.5%
62,Unpadded Memo Slips,125.4568,97.8%
68,"Wirebound Message Book, 4 per Page",101.8407,98.3%
70,Wirebound Voice Message Log Book,98.184,98.4%
42,Xit Blank Computer Paper,356.73,94.9%
